Energy_minus_Ef,Total_DOS_Combi,Total_DOS_Slab,Total_DOS_Ads,Delta_DOS,Nb_d_proj,S_p_proj
-12.2969,0.0,0.0,0.0,0.0,0.0,0.0
-12.2469,0.0,0.0,0.0,0.0,0.0,0.0
-12.1969,0.0,0.0,0.0,0.0,0.0,0.0
-12.1469,0.0,0.0,0.0,0.0,0.0,0.0
-12.0969,0.0,0.0,0.0,0.0,0.0,0.0
-12.0469,0.0,0.0,0.0,0.0,0.0,0.0
-11.9969,0.0,0.0,0.0,0.0,0.0,0.0
-11.9469,0.0,0.0,0.0,0.0,0.0,0.0
-11.8969,0.0,0.0,0.0,0.0,0.0,0.0
-11.8469,0.0,0.0,0.0,0.0,0.0,0.0
-11.7969,0.0,0.0,0.0,0.0,0.0,0.0
-11.7469,0.0,0.0,0.0,0.0,0.0,0.0
-11.6969,0.0,0.0,0.0,0.0,0.0,0.0
-11.6469,0.0,0.0,0.0,0.0,0.0,0.0
-11.5969,0.0,0.0,0.0,0.0,0.0,0.0
-11.5469,0.0,0.0,0.0,0.0,0.0,0.0
-11.4969,0.0,0.0,0.0,0.0,0.0,0.0
-11.4469,0.0,0.0,0.0,0.0,0.0,0.0
-11.3969,0.0,0.0,0.0,0.0,0.0,0.0
-11.3469,0.0,0.0,0.0,0.0,0.0,0.0
-11.2969,0.0,0.0,0.0,0.0,0.0,0.0
-11.2469,0.0,0.0,0.0,0.0,0.0,0.0
-11.1969,0.0,0.0,0.0,0.0,0.0,0.0
-11.1469,0.0,0.0,0.0,0.0,0.0,0.0
-11.0969,0.0,0.0,0.0,0.0,0.0,0.0
-11.0469,0.0,0.0,0.0,0.0,0.0,0.0
-10.9969,0.0,0.0,0.0,0.0,0.0,0.0
-10.9469,0.0,0.0,0.0,0.0,0.0,0.0
-10.8969,0.0,0.0,0.0,0.0,0.0,0.0
-10.8469,0.0,0.0,0.0,0.0,0.0,0.0
-10.7969,0.0,0.0,0.0,0.0,0.0,0.0
-10.7469,0.0,0.0,0.0,0.0,0.0,0.0
-10.6969,0.0,0.0,0.0,0.0,0.0,0.0
-10.6469,0.0,0.0,0.0,0.0,0.0,0.0
-10.5969,0.0,0.0,0.0,0.0,0.0,0.0
-10.5469,0.0,0.0,0.0,0.0,0.0,0.0
-10.4969,0.0,0.0,0.0,0.0,0.0,0.0
-10.4469,0.0,0.0,0.0,0.0,0.0,0.0
-10.3969,0.0,0.0,0.0,0.0,0.0,0.0
-10.3469,0.0,0.0,0.0,0.0,0.0,0.0
-10.2969,0.0,0.0,0.0,0.0,0.0,0.0
-10.2469,0.0,0.0,0.0,0.0,0.0,0.0
-10.1969,0.0,0.0,0.0,0.0,0.0,0.0
-10.1469,0.0,0.0,0.0,0.0,0.0,0.0
-10.0969,0.0,0.0,0.0,0.0,0.0,0.0
-10.0469,0.0,0.0,0.0,0.0,0.0,0.0
-9.9969,0.0,0.0,0.0,0.0,0.0,0.0
-9.9469,0.0,0.0,0.0,0.0,0.0,0.0
-9.8969,0.0,0.0,0.0,0.0,0.0,0.0
-9.8469,0.0,0.0,0.0,0.0,0.0,0.0
-9.7969,0.0,0.0,0.0,0.0,0.0,0.0
-9.7469,0.0,0.0,0.0,0.0,0.0,0.0
-9.6969,0.0,0.0,0.0,0.0,0.0,0.0
-9.6469,0.0,0.0,0.0,0.0,0.0,0.0
-9.5969,0.0,0.0,0.0,0.0,0.0,0.0
-9.5469,0.0,0.0,0.0,0.0,0.0,0.0
-9.4969,0.0,0.0,0.0,0.0,0.0,0.0
-9.4469,0.0,0.0,0.0,0.0,0.0,0.0
-9.3969,0.0,0.0,0.0,0.0,0.0,0.0
-9.3469,0.0,0.0,0.0,0.0,0.0,0.0
-9.2969,0.0,0.0,0.0,0.0,0.0,0.0
-9.2469,0.0,0.0,0.0,0.0,0.0,0.0
-9.1969,0.0,0.0,0.0,0.0,0.0,0.0
-9.1469,0.0,0.0,0.0,0.0,0.0,0.0
-9.0969,0.0,0.0,0.0,0.0,0.0,0.0
-9.0469,0.0,0.0,0.0,0.0,0.0,0.0
-8.9969,0.0,0.0,0.0,0.0,0.0,0.0
-8.9469,0.0,2.474314120127226e-08,0.0,-2.474314120127226e-08,0.0,0.0
-8.8969,0.0,0.0011368755826633454,0.0,-0.0011368755826633454,0.0,0.0
-8.8469,0.0,0.038900286480249,0.0,-0.038900286480249,0.0,0.0
-8.7969,0.0,0.5016563655622213,0.0,-0.5016563655622213,0.0,0.0
-8.7469,0.0,2.609085197622825,0.0,-2.609085197622825,0.0,0.0
-8.6969,0.0011134707967946514,6.231051578026387,0.0,-6.229938107229592,0.00043015437871796435,4.0925405007188024e-07
-8.6469,0.038987612547573054,8.674203061433838,0.0,-8.635215448886266,0.015049212547815102,1.4481417368881918e-05
-8.5969,0.5217589925419733,9.769984007173948,0.0,-9.248225014631974,0.20113150387562695,0.00019699553268601793
-8.5469,2.952821485783087,12.331511244070265,0.0,-9.378689758287178,1.1349537636652456,0.001153544692185324
-8.4969,8.25838776239344,16.985974173187458,0.0,-8.727586410794018,3.1579904774810315,0.003403106517968756
-8.4469,14.119074090336728,20.29170714256812,0.0,-6.172633052231394,5.364923068269067,0.006158504164249378
-8.3969,18.154748989778884,21.665571313149616,0.0,-3.510822323370732,6.8594173785009795,0.008345135282384068
-8.3469,20.307278846764227,21.742426266791426,0.0,-1.4351474200271994,7.636506579949634,0.009890223206122086
-8.2969,21.1140402071537,20.870363670072088,0.0,0.24367653708161185,7.898524472046018,0.011031338882438416
-8.2469,21.98163158083753,22.16621045631191,0.0,-0.18457887547437934,8.172527579934297,0.012628861894304417
-8.1969,23.487538814377693,24.90815926548043,0.0,-1.4206204511027352,8.681696608605163,0.01498313636299025
-8.1469,23.91708440756124,26.27033617475487,0.0,-2.3532517671936297,8.793788444489074,0.017119958492036232
-8.0969,24.419119139527332,25.166753826711215,0.0,-0.7476346871838828,8.932260863776591,0.019889571547166893
-8.0469,25.88461280093488,24.602791316156363,0.0,1.2818214847785185,9.405072175030142,0.0238727815327954
-7.9969,28.53245835972303,26.65920962092626,0.0,1.8732487387967716,10.292809177347692,0.029812101270983715
-7.9469,33.82809083725868,31.970404429596787,0.0,1.857686407661891,12.126632413798117,0.0411480860687567
-7.8969000000000005,39.745518249111036,40.0899789346206,0.0,-0.3444606855095671,14.153865218235728,0.054220694718130014
-7.8469,40.46940279495372,45.675466945840014,0.0,-5.2060641508862915,14.276841577804419,0.060044951164175436
-7.7969,40.62518279619905,47.13564506100625,0.0,-6.510462264807202,14.1730399958054,0.06698109775127814
-7.7469,42.71698990101309,48.65618483512445,0.0,-5.939194934111356,14.74942712266181,0.07880364400344836
-7.6969,45.19012606564087,51.333849970401076,0.0,-6.143723904760208,15.479704508283735,0.0973249518217324
-7.6469000000000005,47.01341857101855,51.75790404037532,0.0,-4.744485469356775,15.98818516486503,0.12427662111569913
-7.5969,48.959208201603246,52.192433394758545,0.0,-3.233225193155299,16.503345105693732,0.17518793885980444
-7.5469,51.57837866506972,54.75466890732952,0.0,-3.176290242259796,17.188971910885382,0.26771104273332025
-7.4969,56.585239924237285,56.430317642338366,0.0,0.15492228189891932,18.566158530092473,0.47177314760167033
-7.4469,67.54747661580757,57.81247606314425,0.0,9.735000552663315,21.753721657948454,0.9466546761754344
-7.3969000000000005,76.41444958524613,57.9709850587055,0.0,18.44346452654063,24.21129802473751,1.642159055241017
-7.3469,72.93349168394286,55.941103873292754,0.0,16.992387810650108,22.832817975238083,2.2316551887556826
-7.2969,67.59577750809095,57.31203635243657,0.0,10.283741155654376,20.90016003630967,2.613200525923727
-7.2469,67.99644973342974,61.37915846982687,0.0,6.617291263602873,20.816434693513045,2.9328321293656883
-7.1969,67.98176854666944,61.60284772918981,0.0,6.3789208174796315,20.669037281195685,3.162560927794166
-7.1469000000000005,68.91013390252226,62.96685181197774,0.0,5.943282090544521,20.84366967434533,3.243389010991108
-7.0969,69.13107066219179,66.43321204980705,0.0,2.697858612384735,20.85973135979048,3.0034321019741936
-7.0469,70.94023635086211,71.44552783353255,0.0,-0.5052914826704438,21.39167152157996,2.5131826248717806
-6.9969,75.82882572496669,78.79356124342006,0.0,-2.9647355184533666,22.731363569623376,2.0657795722604737
-6.9469,74.82971984693391,85.06337645307403,0.0,-10.233656606140116,22.38109670160282,1.4903606597522208
-6.8969000000000005,69.14430803998582,93.11734002261312,0.0,-23.973031982627305,20.757175465760994,1.071007849810412
-6.8469,70.28951368061914,96.97065762704604,0.0,-26.6811439464269,21.29861119761026,1.0137729374296256
-6.7969,75.22499752478923,89.32704658457527,0.0,-14.10204905978604,23.136286021880082,1.1154404619228269
-6.7469,78.44536158254064,83.22794468811294,0.0,-4.7825831055723,24.5369446803575,1.2074877287957457
-6.6969,78.80710479019069,84.05872637148826,0.0,-5.25162158129757,25.362973835388253,1.0794985449021113
-6.6469000000000005,78.81005207472703,90.2888073343968,0.0,-11.478755259669768,26.252793503852217,0.8888072226282953
-6.5969,87.29441169539238,99.96696631219989,0.0,-12.672554616807503,29.506267832912606,0.9341945026569782
-6.5469,104.39404191946844,105.08882547385289,0.0,-0.6947835543844576,35.27596630854779,1.3322235259442001
-6.4969,116.74848523678949,114.93400279129946,0.0,1.8144824454900288,39.691111587592445,1.997230467815994
-6.4469,124.03470310106616,135.11566279258707,0.0,-11.080959691520917,42.470489202590514,2.685934875487985
-6.3969000000000005,135.1896090874044,137.93080675720458,0.0,-2.7411976698001865,46.556772685737954,3.255226194912707
-6.3469,140.52894071268844,128.04199522829995,0.0,12.486945484388485,48.02871820042437,3.9622661725915953
-6.2969,144.89164762806158,131.72529632546656,0.0,13.166351302595018,48.62491829313153,5.4991305250462705
-6.2469,160.75924257557045,148.52380430402988,0.0,12.235438271540573,53.16195849012833,7.534843860580471
-6.1969,181.9082791100086,171.01223533439517,0.0,10.896043775613435,59.960157382336476,8.57890861940361
-6.1469000000000005,192.27851657337925,187.8882996749601,0.0,4.3902168984191405,63.83958656941587,7.5208558740636136
-6.0969,183.89810906833355,178.33241837788904,0.0,5.565690690444512,61.940752664566475,4.988565640355312
-6.0469,180.98116270212682,172.79529722861326,0.0,8.185865473513559,61.833200364180044,2.9157014895198987
-5.9969,183.96670417860685,173.93962480957055,0.0,10.0270793690363,63.220213543391836,1.8774548509070295
-5.9469,175.57200081997908,166.29053680366087,0.0,9.28146401631821,60.233728216831935,1.2399239470584065
-5.8969000000000005,163.63191471208995,151.17050631677196,0.0,12.461408395317989,56.00596850415447,0.7985984179542047
-5.8469,158.74002688948934,136.59602414125746,0.0,22.144002748231884,54.28647177158781,0.5878465219760067
-5.7969,160.55808974869547,127.50197972110077,0.0,33.0561100275947,55.044196409731896,0.5325393020763295
-5.7469,157.2275220820115,131.95869323623103,0.0,25.26882884578046,54.13394656945414,0.5182240698734517
-5.6969,151.29802710455786,134.1106930014068,0.0,17.187334103151073,52.12059920783008,0.5097088864319506
-5.6469000000000005,139.3053206444316,122.71736614081007,0.0,16.587954503621518,47.87496091929601,0.491640138745399
-5.5969,119.67188167869128,114.83920061583339,0.0,4.832681062857887,41.09592145179039,0.4946885117203705
-5.5469,109.86104557433151,111.64931505190039,0.0,-1.7882694775688748,37.982364847701646,0.5823477988499156
-5.4969,112.62057620402274,103.31887392772262,0.0,9.30170227630012,39.39149031486059,0.7332860608087921
