cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
372,"(3,-1)",N-V,N,V,1.916700632,15.4809627524,30.5415758315,1.0142742946103613,8.19217269167144,16.161905915614852,0.08977985565,0.2991271887,0.10153979789370647,-0.17632159506870648,-0.07478179717500001,1.736477703582617
382,"(3,-1)",N-V,N,V,3.8653602024,1.9034862974,30.5697876441,2.0454605311071985,1.0072815698825697,16.176834963921518,0.08924206027,0.3725521944,0.11326232512824151,-0.2064003737282415,-0.09313804859999998,1.8223215309640184
405,"(3,-1)",N-V,N,V,23.1672917456,1.9561706018,30.5284505714,12.259602830506546,1.035160903144222,16.154960327082534,0.08912572489,0.3566717633,0.11050445948293748,-0.19967240030793748,-0.089167940825,1.8069171257180625
413,"(3,-1)",V-N,V,N,17.3903916218,19.3252865126,30.5516795423,9.20259893523066,10.226501216967563,16.167252569115938,0.08870146578,0.2912474634,0.09919596350634552,-0.1720078293563455,-0.07281186584999999,1.734020450795281
451,"(3,-1)",V-N,V,N,23.149967567,13.4935428555,30.5458999806,12.250435269993519,7.140475373702983,16.164194156775192,0.08754386271,0.3355305977,0.10547949911194932,-0.18936214853694933,-0.08388264942500001,1.7952507371690516
455,"(3,-1)",N-V,N,V,21.1769336906,15.4677108102,30.543624664,11.20635070622949,8.18516006585877,16.16299011108284,0.08708678983,0.3734027637,0.11136103684365692,-0.20471172776865693,-0.09335069092500001,1.8382706696244022
457,"(3,-1)",V-N,V,N,1.9515476971,0.0078472496,30.5313347705,1.032714567328727,0.004152585656721086,16.15648657951801,0.08688214998,0.3392885706,0.10548308696521538,-0.1903052296152154,-0.08482214265000002,1.804130264769094
460,"(3,-1)",N-V,N,V,15.5052873928,17.4361701139,30.5760155356,8.205044737034942,9.226823870000262,16.180130622175398,0.0861665135,0.3837170272,0.11221789107837037,-0.20814714787837035,-0.09592925679999999,1.8548481519137197
461,"(3,-1)",N-V,N,V,21.1858930306,23.1612548798,30.5278939015,11.211091784782374,12.256408258699805,16.154665750057447,0.08538235371,0.3607609593,0.10766204119356479,-0.19785228101856478,-0.09019023982499999,1.8377162352221024
464,"(3,-1)",V-N,V,N,23.1453094139,5.7502228833,30.5725364469,12.247970281528023,3.042886907553055,16.17828956772059,0.08497963918,0.359536163,0.1070848218422732,-0.1969688625922732,-0.08988404074999999,1.839372370459667
475,"(3,-1)",V-N,V,N,23.1367450386,9.6859146638,30.5712844453,12.243438209293497,5.125565306998814,16.177627037005834,0.08275769882,0.3403763199,0.10185425330549921,-0.1869483332804992,-0.08509407997499999,1.835449450694718
481,"(3,-1)",N-V,N,V,11.6121110136,1.875232163,30.5332727844,6.144864519070262,0.9923301258438189,16.157512132308337,0.08226516702,0.3663156563,0.10573076410335863,-0.19730967817835865,-0.09157891407500002,1.8661520121567998
492,"(3,-1)",N-V,N,V,9.7306960462,23.1136041417,30.5772938066,5.149262594038388,12.231192574013768,16.18080705405798,0.08073394059,0.09800915454,0.059635617794538194,-0.0841379064295382,-0.024502288635,1.4108666857349816
501,"(3,-1)",N-V,N,V,13.600477112,11.658582792,30.4842040757,7.197062545309457,6.169456325150467,16.13154608989502,0.07913106878,0.1518282398,0.0671821642121079,-0.1051392241621079,-0.03795705995,1.5649871568614813
502,"(3,-1)",V-N,V,N,5.7354523049,15.523389193,30.4931163443,3.0350706540716677,8.21462379717741,16.13626225933574,0.07888026351,0.362615821,0.10209244444894812,-0.19274639969894813,-0.09065395525000002,1.8879594933720292
506,"(3,-1)",N-V,N,V,9.5606347381,19.3207105366,30.5302217906,5.059270025332623,10.224079714750646,16.155897615918718,0.07627139364,0.1445421785,0.06347601678310151,-0.09961156140810151,-0.036135544625,1.5692787048764527
512,"(3,-1)",V-N,V,N,11.7315887699,5.9084381601,30.6146745608,6.208089424916076,3.1266108264550145,16.200588097307623,0.07373488764,0.2206841619,0.07400760108818123,-0.12917864156318123,-0.055171040475,1.745478027442922
516,"(3,-1)",V-N,V,N,15.5340357058,5.660833799,30.467757581,8.220257689126937,2.9955842412364877,16.122842979700266,0.07228521097,0.2569090421,0.07883325029307323,-0.14306051081807322,-0.064227260525,1.8147229790250499
520,"(3,-1)",N-V,N,V,9.472872293,11.7183782518,30.5983216065,5.012828139411085,6.2010987197931104,16.191934486560847,0.06212856392,0.2789797879,0.07447919151559929,-0.14422413849059929,-0.069744946975,1.9364353392637497
522,"(3,-1)",S-V,S,V,12.0474785552,8.0443159468,32.4999680963,6.375251100459248,4.256868676486903,17.19824247218902,0.06139125211,0.0543392012,0.036487813548163814,-0.05007261384816381,-0.013584800299999998,1.372310614941838
523,"(3,-1)",N-V,N,V,9.8535716619,7.7718257203,30.5986846311,5.214285569644591,4.112673058424674,16.192126590906167,0.05496704818,0.2458025576,0.06378308095893634,-0.12523372035893635,-0.06145063940000001,1.9634316573632127
525,"(3,-1)",S-V,S,V,7.3819265679,12.1407910454,32.605207186,3.9063473124175703,6.424629943767283,17.253932600156222,0.04605404049,0.08966462325,0.03193363860366238,-0.054349794416162375,-0.022416155812499998,1.701960590545706
526,"(3,-1)",Li-N,Li,N,7.8784038706,7.6516725349,32.9974870178,4.169071786745441,4.049090730891549,17.461518147448313,0.03564474081,0.2748133535,0.05688702120061513,-0.12559035957561515,-0.06870333837500002,2.2077155197266176
527,"(3,-1)",Li-S,Li,S,11.3807515151,10.4264177514,36.7491019599,6.022434344934183,5.517422665572631,19.44678727895459,0.02535595596,0.1440700815,0.030295184349649,-0.06631270472464901,-0.03601752037500001,2.1888859945299295
528,"(3,-1)",S-Li,S,Li,7.0508149249,8.3073403247,35.2794408473,3.7311305766716916,4.396055183187993,18.669076110391337,0.02261091755,0.1068216259,0.022994778070293886,-0.04970018454529389,-0.026705406475000002,2.1613683068983276
529,"(3,-1)",Li-S,Li,S,9.7060698343,11.9216521269,36.7905891375,5.13623096390962,6.308666622071428,19.4687413478859,0.0225382835,0.1114317254,0.023735364696331862,-0.051593296046331866,-0.027857931350000004,2.173688784917017
530,"(3,-1)",S-Li,S,Li,10.6084760144,11.0062258834,39.0049817498,5.613763749411911,5.824243915733126,20.640547454344667,0.01946155343,0.1016445148,0.02098369678118917,-0.04639482548118917,-0.025411128700000004,2.210993895164355
