cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,bond_length_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
484,"(3,-1)",N-V,N,V,3.9449259388161257,17.70424608689141,31.07990076166083,2.08756490558868,9.36868356570252,16.446775200726062,2.130573286606104,0.0726394133,0.232536841,0.07506582403780195,-0.13320003428780194,-0.05813421025,1.7744431103657043
485,"(3,-1)",V-N,V,N,5.819253657172437,7.876673503965486,31.268924691878073,3.07941641993852,4.168156116155919,16.54680235691556,2.1404689004503084,0.0723876692,0.29250299,0.08485069572412182,-0.15797644322412183,-0.0731257475,1.861816710822931
488,"(3,-1)",S-V,S,V,12.081228603276527,7.817777556547389,33.3463088521927,6.3931108567688,4.13698972296672,17.64610671288024,2.376693607404996,0.0680861103,0.0951708673,0.04845794774442207,-0.07225066456942207,-0.023792716825000004,1.4909972033996994
491,"(3,-1)",S-V,S,V,3.96680434976922,8.376463988173589,33.540496508207454,2.0991424620762,4.43263385063352,17.74886639508522,2.4327863917625163,0.0638797658,0.180392351,0.059374826850207896,-0.1044729146002079,-0.04509808775,1.7595489560546331
503,"(3,-1)",S-V,S,V,7.446107124534145,11.696388320545857,33.55135353452622,3.94031020037252,6.18946214930372,17.75461168599147,2.447867942273736,0.0600159021,0.174636628,0.055520812945204716,-0.09917996994520471,-0.043659157,1.7863565874492622
511,"(3,-1)",S-V,S,V,15.198475779876917,4.229197786833068,33.46229216887052,8.042687023430439,2.2379950892653597,17.70748244091306,2.490731296358256,0.0532164116,0.117447786,0.04119241795056092,-0.07055436445056092,-0.0293619465,1.7127997811451654
514,"(3,-1)",V-N,V,N,7.772742292240356,11.765717304949206,29.33208380665763,4.11315808740768,6.2261494679062,15.521870299278781,2.47284510662916,0.0313442895,0.141751059,0.03257194028734782,-0.06800970503734782,-0.03543776475,2.0879844564791057
515,"(3,-1)",Li-S,Li,S,9.409002728186342,7.318218849211586,35.28723793516344,4.97902982124032,3.8726346395279596,18.673202151600208,2.349599734205892,0.0237463245,0.11710125,0.02514973882030802,-0.05442505132030802,-0.029275312499999998,2.164040418438089
516,"(3,-1)",Li-S,Li,S,8.989603779874956,10.197512619474765,38.20532271391973,4.75709345551012,5.39629128629516,20.21738611605057,2.55089874523986,0.0163377085,0.0578164091,0.012656394220228023,-0.027110496495228023,-0.014454102275,2.142039511687997
517,"(3,-1)",S-S,S,S,9.508641687924937,9.266498304993258,36.15943013394457,5.03175648805376,4.90361972803124,19.13474638673739,3.5084978261206925,0.0151045548,0.0262706236,0.007028453107881964,-0.013596109007881964,-0.0065676559,1.9344383179614288
