cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,bond_length_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
479,"(3,-1)",N-V,N,V,3.9876583495614906,17.657566840356328,30.81141580682028,2.1101779235228,9.34398197221324,16.304699081149558,2.1250698436125357,0.0750801023,0.296706354,0.08781677853238365,-0.16199336703238365,-0.0741765885,1.8446744430809012
483,"(3,-1)",V-N,V,N,11.841812090636125,21.795198084217756,30.819124667747513,6.266417094361559,11.53352213365528,16.3087784346744,2.127927400551504,0.0747798668,0.274033613,0.08378263020355226,-0.15229103345355227,-0.06850840325000002,1.8176922004424656
485,"(3,-1)",V-N,V,N,6.02542309143595,11.842741092114073,31.272803442080637,3.1885165861390403,6.2669087007726,16.54885490312961,2.129991191674092,0.0746287907,0.285294375,0.08553118778102875,-0.15685478153102875,-0.07132359375,1.8338899014544017
487,"(3,-1)",N-V,N,V,2.075669612065085,15.761628000208137,30.85853654184674,1.098397056104,8.34069434470872,16.32963430028736,2.130890792932656,0.0741914898,0.288403096,0.0856790943903217,-0.1577798683903217,-0.072100774,1.8415211961921074
488,"(3,-1)",V-N,V,N,1.9461723933062072,11.82926749295215,31.064571881301735,1.02987007905928,6.25977877914704,16.43866350657111,2.1272923878984,0.0740872181,0.183536984,0.06811334818489131,-0.1139975941848913,-0.04588424599999999,1.673645434011683
489,"(3,-1)",V-N,V,N,21.641495926084843,15.782853695291026,30.951091512451367,11.45218645430212,8.35192649883252,16.3786122814887,2.12782156510932,0.0738865637,0.241696098,0.0776373070365406,-0.1380613315365406,-0.06042402449999999,1.7782859401802917
490,"(3,-1)",N-V,N,V,0.0261649809734025,2.065465037471837,30.875946993331812,0.013845911655280001,1.09299702778212,16.33884751444509,2.133854185313808,0.0730838431,0.283364839,0.08390816760069827,-0.15474937735069827,-0.07084120975,1.8442707280549702
494,"(3,-1)",V-N,V,N,3.990580537441787,5.986800162763516,31.19563393245226,2.1117242787550796,3.1680782124666,16.5080185572564,2.140680571334676,0.0718062487,0.246789426,0.07674979982509278,-0.13844715632509277,-0.061697356499999995,1.80387644841555
497,"(3,-1)",N-V,N,V,11.859581019516288,17.694480444189118,31.183458180696743,6.2758200065873995,9.36351581013448,16.50157542690156,2.15084077378434,0.0706653424,0.233010125,0.07351504308730082,-0.13176757433730082,-0.05825253125,1.7923892689666763
500,"(3,-1)",N-V,N,V,2.0829543662639627,7.929879909202647,31.24422675616724,1.1022519820132,4.1963117332824,16.53373277218062,2.1626414255878563,0.06988982,0.274471392,0.07979324651221478,-0.1484110945122148,-0.06861784800000001,1.8599455592961236
502,"(3,-1)",N-V,N,V,15.682106041892586,2.085886971082341,31.257585241349854,8.2986131366004,1.10380384965172,16.54080177811167,2.166504419227572,0.0686915293,0.281637038,0.0800201458661611,-0.15042940536616112,-0.07040925950000002,1.8798941658737298
510,"(3,-1)",V-N,V,N,17.626465651224116,4.026618644978591,31.313129043514852,9.32752393169196,2.13079482398824,16.57019429242524,2.1945508114063323,0.0650571914,0.262159279,0.07390854990472227,-0.1394483696547223,-0.06553981975000002,1.8867691198716436
511,"(3,-1)",S-V,S,V,7.538142192970837,3.987412604522217,33.280503609152696,3.9890130611946804,2.11004788084832,17.61128407790442,2.406115860332148,0.0643378579,0.19874423,0.06278461452140717,-0.11247067202140718,-0.049686057500000005,1.7913731394027903
518,"(3,-1)",S-V,S,V,4.459827138705007,7.524614615129768,33.65172854200758,2.3600388864452397,3.9818545752822403,17.80772785249653,2.4501434042806918,0.0614842632,0.181708164,0.057785275461419566,-0.10321231646141957,-0.045427041,1.786135233193263
521,"(3,-1)",S-V,S,V,12.671822116244657,7.011156871410874,33.40972182703354,6.70563948474872,3.7101444385357993,17.679663414042658,2.46040944217254,0.0586576688,0.147346709,0.049983699585249494,-0.08682037683524949,-0.03683667724999999,1.736973804573496
524,"(3,-1)",S-V,S,V,14.654458764554615,4.935607764379499,33.41733142372014,7.75480561656916,2.61181115094944,17.6836902391935,2.552115852824976,0.0510137232,0.0992803769,0.03669387966229004,-0.06151397388729004,-0.024820094225,1.676409647969369
529,"(3,-1)",V-N,V,N,8.019903561595346,11.902648903017578,29.380321760712356,4.243950198572399,6.29861054905884,15.54739672526595,2.523222777108744,0.0291036063,0.086341057,0.02229659711133471,-0.043881861361334706,-0.021585264249999996,1.9680967971129055
530,"(3,-1)",V-N,V,N,15.90679039985201,11.794084521332357,29.364869792694886,8.417510978482719,6.2411607523534,15.53921989592724,2.533065473231856,0.0286154483,0.142976581,0.031516063737198494,-0.06726020898719849,-0.03574414525,2.134156395546665
531,"(3,-1)",V-N,V,N,11.97861371372708,7.7042923553618845,29.383527995684663,6.33880939571816,4.07693594072268,15.54909339174615,2.5619056312269963,0.0278770011,0.0745103513,0.01977727675434819,-0.03840486457934819,-0.018627587825,1.9418681882430844
