cp_no,cp_type,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
619,"(3,-1)",14.2901712772,15.6419945151,37.5022857745,7.562032980037791,8.277387030726556,19.845354989274703,4.282843639e-05,-0.001612961054,-0.00026867631260191937,0.0006719165761019194,0.0004032402635,-2.5008403963674146
621,"(3,-1)",21.8927841782,0.139046336,36.6808074352,11.58516247069338,0.07358015227312519,19.410647372852736,4.056499861e-05,-0.002802855283,-0.0004670050413624235,0.0011677188621124234,0.0007007138207499999,-2.500441662697608
622,"(3,-1)",21.3117607149,11.0772071187,36.6557528646,11.277698094905208,5.861805567856836,19.397389065061827,3.895166601e-05,-0.001111366929,-0.0001850993090161331,0.0004629410412661331,0.00027784173225,-2.5010414340649083
627,"(3,-1)",21.0465662448,7.3551884363,36.7003216761,11.137363224866283,3.8921981025122703,19.42097386442542,3.708205657e-05,-0.0007895324087,-0.00013147033753521388,0.00032885343971021387,0.000197383102175,-2.501350843661838
634,"(3,-1)",13.1694650987,23.1622122429,37.1628811048,6.968980810238349,12.256914873434901,19.665749772789635,3.158963085e-05,-0.0003147363142,-5.236541453523163e-05,0.00013104949308523163,7.868407855000001e-05,-2.5025963080471954
640,"(3,-1)",14.6378961371,1.2960453203,38.0449744293,7.746041051567221,0.6858376478222721,20.132533458019694,2.960981983e-05,-0.002213793076,-0.00036888414318875446,0.0009223324121887545,0.000553448269,-2.5003308741216506
644,"(3,-1)",20.3013557547,14.4693527537,37.0285378259,10.74301481616684,7.656851734020589,19.594658371155486,2.760796133e-05,-0.002585745644,-0.0004308851983441665,0.0010773216093441665,0.000646436411,-2.500252070584387
646,"(3,-1)",1.9201353941,4.2688993611,37.3175011806,1.016091892438613,2.259004257605068,19.747571193253716,2.587659642e-05,-0.001055120836,-0.00017578847259398678,0.00043956868159398675,0.00026378020899999995,-2.5005546444973388
647,"(3,-1)",3.1080304997,4.7785194967,37.6252245763,1.64469891128554,2.5286836195905487,19.910411401525074,2.579767738e-05,0.0007738596182,0.00012904127304414658,-0.0003225061775941466,-0.00019346490455000002,2.499248263645178
648,"(3,-1)",0.2982905756,12.1540496635,37.1865537766,0.15784857483972942,6.431646102314095,19.678276811227782,2.519330826e-05,-3.188388218e-05,-5.251815651827195e-06,1.3222786196827196e-05,7.970970545e-06,-2.5177552057119077
650,"(3,-1)",8.811137821,20.3215403241,37.2313589179,4.662653337148507,10.753696030305552,19.701986670935796,2.495186552e-05,-0.001637798753,-0.00027290528388330303,0.000682354972133303,0.00040944968825,-2.500336242756973
655,"(3,-1)",13.6063008486,20.0164266579,37.2888029473,7.200144334000577,10.592236831412258,19.73238474219769,2.303799317e-05,-0.003639818215,-0.0006065828129779233,0.0015165373667279233,0.00090995455375,-2.500132437453545
